airline,from,to,day,month,year,duration,age,gender,reason,stay,transit,connection,wait,ticket,checked_bags,carry_on
Delta Airlines,JFK,GDL,10,1,2013,105,18,female,Business/Work,Short-term homestay,,True,486,First Class,1,True
Aeromexico,PDX,JFK,2,5,2017,509,5,unspecified,Business/Work,Hotel,,True,283,Business,3,False
Volaris,SJC,GDL,29,2,2016,362,5,undisclosed,Business/Work,Home,,True,67,First Class,1,False
American Airlines,GDL,JFK,24,8,2018,602,65,undisclosed,Business/Work,Friend/Family,,True,200,First Class,2,False
Alaska,PDX,SJC,13,3,2019,640,89,undisclosed,Back Home,Home,Public Transportation,False,0,Business,3,False
American Airlines,LAX,JFK,30,10,2020,874,81,male,Business/Work,Friend/Family,,True,265,Business,0,True
Volaris,GDL,SJC,12,2,2016,829,33,male,Back Home,Home,Own car,False,0,Business,1,False
Aeromexico,LAX,PDX,26,6,2015,584,60,female,On vacation/Pleasure,Hotel,Car rental,False,0,Business,2,True
Aeromexico,LAX,GDL,29,9,2013,667,49,female,Business/Work,Short-term homestay,Own car,False,0,Business,1,False
Alaska,LAX,GDL,21,9,2022,858,26,unspecified,On vacation/Pleasure,Hotel,,True,489,Economy,1,True
American Airlines,GDL,PDX,8,11,2018,605,83,unspecified,Business/Work,Short-term homestay,,True,299,Business,2,False
Alaska,GDL,PDX,26,4,2013,954,41,male,On vacation/Pleasure,Hotel,,True,300,Economy,2,True
Alaska,PDX,LAX,2,7,2016,610,32,undisclosed,Business/Work,Hotel,Public Transportation,False,0,First Class,3,True
American Airlines,LAX,JFK,8,1,2013,361,10,unspecified,Business/Work,Short-term homestay,Own car,False,0,Business,0,True
Aeromexico,GDL,SJC,5,6,2016,906,27,undisclosed,On vacation/Pleasure,Friend/Family,Car rental,False,0,First Class,2,True
Volaris,SJC,GDL,25,7,2019,449,48,male,Back Home,Home,Public Transportation,False,0,Business,3,True
Delta Airlines,JFK,GDL,9,11,2015,564,59,male,Back Home,Home,Own car,False,0,Business,3,False
Delta Airlines,LAX,SJC,1,4,2016,407,13,female,Back Home,Home,Pickup,False,0,Economy,2,False
Aeromexico,PDX,SJC,10,7,2017,234,44,unspecified,On vacation/Pleasure,Short-term homestay,,True,51,Business,2,False
Delta Airlines,PDX,GDL,28,11,2015,727,26,male,Business/Work,Hotel,Own car,False,0,Business,2,False
Aeromexico,PDX,SJC,19,1,2015,233,3,undisclosed,On vacation/Pleasure,Home,,True,350,Business,2,False
American Airlines,JFK,GDL,3,2,2014,566,23,male,Back Home,Home,Public Transportation,False,0,First Class,1,True
American Airlines,PDX,GDL,26,6,2018,677,37,undisclosed,On vacation/Pleasure,Short-term homestay,,True,685,Economy,0,False
American Airlines,JFK,GDL,4,12,2017,498,47,unspecified,Back Home,Home,Pickup,False,0,Business,0,True
Aeromexico,GDL,SJC,19,11,2020,466,53,unspecified,Business/Work,Hotel,Mobility as a service,False,0,First Class,3,True
Volaris,PDX,JFK,10,7,2020,148,72,unspecified,Back Home,Home,Car rental,False,0,Business,1,False
American Airlines,GDL,PDX,11,2,2017,161,37,female,Business/Work,Short-term homestay,,True,354,Economy,1,False
Aeromexico,JFK,GDL,14,3,2021,640,31,male,On vacation/Pleasure,Hotel,Public Transportation,False,0,Business,0,True
Delta Airlines,PDX,LAX,19,12,2017,610,39,unspecified,On vacation/Pleasure,Friend/Family,Pickup,False,0,Business,1,True
Alaska,SJC,PDX,27,9,2013,454,15,male,On vacation/Pleasure,Friend/Family,,True,120,Economy,3,True
Delta Airlines,SJC,LAX,8,2,2023,354,60,male,Business/Work,Home,,True,344,Economy,1,True
Alaska,SJC,JFK,13,10,2021,691,52,male,Back Home,Home,Own car,False,0,Economy,3,False
American Airlines,JFK,LAX,24,2,2023,593,33,female,Business/Work,Home,,True,161,First Class,3,True
Aeromexico,PDX,JFK,8,9,2022,132,46,undisclosed,Back Home,Home,Own car,False,0,Business,1,True
American Airlines,PDX,SJC,4,2,2019,932,15,undisclosed,Back Home,Home,Pickup,False,0,Economy,2,True
American Airlines,JFK,LAX,17,2,2020,133,6,male,Business/Work,Short-term homestay,,True,121,Economy,2,False
American Airlines,LAX,JFK,8,2,2022,113,54,male,On vacation/Pleasure,Short-term homestay,,True,641,Economy,3,False
Aeromexico,GDL,SJC,7,7,2019,674,44,undisclosed,On vacation/Pleasure,Home,Public Transportation,False,0,First Class,2,True
Alaska,JFK,PDX,7,10,2021,47,45,unspecified,Back Home,Home,Airport cab,False,0,Business,2,True
American Airlines,JFK,LAX,26,10,2014,828,55,unspecified,Back Home,Home,Mobility as a service,False,0,Economy,0,True
Volaris,GDL,PDX,4,1,2015,551,20,female,On vacation/Pleasure,Short-term homestay,,True,336,Economy,0,False
American Airlines,SJC,JFK,1,6,2018,28,34,female,Business/Work,Friend/Family,,True,325,Economy,1,False
Alaska,SJC,PDX,20,7,2014,891,24,female,On vacation/Pleasure,Hotel,Public Transportation,False,0,First Class,2,False
Alaska,JFK,SJC,26,10,2015,625,66,undisclosed,Business/Work,Short-term homestay,,True,699,First Class,0,True
Alaska,SJC,GDL,11,10,2019,491,6,undisclosed,On vacation/Pleasure,Home,Airport cab,False,0,First Class,1,False
Delta Airlines,LAX,JFK,28,4,2014,225,58,undisclosed,Back Home,Home,Own car,False,0,Business,0,False
Volaris,GDL,SJC,25,2,2014,770,42,undisclosed,Business/Work,Friend/Family,,True,81,First Class,3,True
Alaska,PDX,GDL,24,10,2018,947,35,female,Business/Work,Short-term homestay,,True,622,Business,0,False
Alaska,GDL,LAX,5,8,2015,544,2,male,Business/Work,Home,,True,396,First Class,3,False
Volaris,SJC,GDL,14,1,2018,602,59,male,Business/Work,Short-term homestay,,True,574,Business,1,False
Alaska,SJC,LAX,6,12,2020,314,86,female,On vacation/Pleasure,Short-term homestay,,True,200,Business,1,False
Delta Airlines,JFK,PDX,14,1,2023,68,8,undisclosed,On vacation/Pleasure,Friend/Family,,True,521,First Class,0,False
American Airlines,LAX,GDL,11,3,2016,240,58,male,Back Home,Home,Public Transportation,False,0,Business,2,False
Volaris,PDX,LAX,19,7,2018,820,37,male,On vacation/Pleasure,Friend/Family,Airport cab,False,0,Economy,1,True
Aeromexico,GDL,LAX,8,2,2021,36,67,undisclosed,On vacation/Pleasure,Friend/Family,Mobility as a service,False,0,First Class,3,False
Volaris,SJC,PDX,2,8,2020,646,78,male,Business/Work,Friend/Family,,True,526,First Class,0,True
American Airlines,GDL,JFK,31,10,2018,93,58,undisclosed,Back Home,Home,Pickup,False,0,Economy,3,True
American Airlines,GDL,SJC,28,8,2015,469,3,female,Back Home,Home,Airport cab,False,0,Economy,3,True
Delta Airlines,SJC,LAX,8,9,2015,987,89,female,Back Home,Home,Airport cab,False,0,Economy,0,True
Volaris,LAX,SJC,9,4,2018,262,85,female,Business/Work,Hotel,,True,179,Business,3,True
Alaska,GDL,LAX,10,2,2022,856,59,female,Business/Work,Home,,True,321,Business,1,False
Aeromexico,LAX,PDX,24,11,2022,665,60,female,Business/Work,Short-term homestay,,True,240,Business,3,True
Delta Airlines,GDL,SJC,26,12,2019,586,27,undisclosed,Business/Work,Short-term homestay,,True,587,Economy,1,True
American Airlines,LAX,JFK,11,8,2014,806,44,undisclosed,On vacation/Pleasure,Hotel,Airport cab,False,0,First Class,2,True
Aeromexico,PDX,SJC,1,7,2020,763,35,female,On vacation/Pleasure,Hotel,,True,49,First Class,1,True
American Airlines,JFK,LAX,10,1,2015,172,14,female,Back Home,Home,Pickup,False,0,Business,0,True
Alaska,GDL,JFK,20,8,2014,321,20,unspecified,Business/Work,Short-term homestay,Car rental,False,0,Business,1,True
Volaris,PDX,LAX,30,11,2014,579,82,female,Back Home,Home,Public Transportation,False,0,Business,2,True
American Airlines,JFK,LAX,24,1,2023,384,82,female,Business/Work,Home,,True,401,First Class,3,True
Aeromexico,LAX,GDL,1,10,2016,74,33,male,Business/Work,Home,Own car,False,0,Business,2,True
American Airlines,JFK,SJC,23,3,2017,445,18,undisclosed,Back Home,Home,Public Transportation,False,0,Business,1,True
American Airlines,GDL,LAX,29,1,2023,992,31,female,Back Home,Home,Pickup,False,0,Economy,0,True
Aeromexico,JFK,PDX,10,4,2021,546,18,unspecified,On vacation/Pleasure,Hotel,,True,335,Business,3,False
Volaris,PDX,GDL,28,2,2016,497,74,male,Back Home,Home,Public Transportation,False,0,Business,0,False
Aeromexico,SJC,LAX,8,5,2018,787,34,unspecified,Business/Work,Hotel,Mobility as a service,False,0,First Class,3,False
Aeromexico,SJC,GDL,11,11,2019,454,77,female,Business/Work,Home,,True,181,Business,2,False
American Airlines,PDX,SJC,31,7,2016,502,66,male,Back Home,Home,Mobility as a service,False,0,First Class,2,True
Alaska,PDX,SJC,3,8,2018,397,6,female,Back Home,Home,Airport cab,False,0,First Class,0,False
Delta Airlines,JFK,PDX,18,7,2016,867,9,male,Back Home,Home,Mobility as a service,False,0,Economy,0,True
Aeromexico,LAX,JFK,1,8,2020,456,9,undisclosed,On vacation/Pleasure,Hotel,Public Transportation,False,0,Economy,3,False
Volaris,SJC,GDL,11,6,2016,267,60,unspecified,Back Home,Home,Pickup,False,0,Economy,1,True
Volaris,JFK,GDL,11,9,2019,861,19,unspecified,Business/Work,Friend/Family,,True,376,First Class,3,True
Volaris,LAX,JFK,28,9,2018,524,18,unspecified,Back Home,Home,Own car,False,0,First Class,3,False
Volaris,GDL,PDX,12,8,2015,900,82,unspecified,Business/Work,Hotel,Airport cab,False,0,First Class,2,True
American Airlines,JFK,SJC,29,11,2016,162,50,male,Back Home,Home,Airport cab,False,0,Business,0,True
Delta Airlines,LAX,PDX,11,10,2018,396,25,unspecified,Business/Work,Short-term homestay,,True,637,First Class,0,False
Delta Airlines,LAX,SJC,23,2,2019,973,52,female,Business/Work,Friend/Family,,True,145,Business,3,False
American Airlines,PDX,GDL,17,6,2021,528,2,female,On vacation/Pleasure,Home,,True,67,First Class,1,False
American Airlines,SJC,PDX,9,11,2020,149,21,unspecified,Back Home,Home,Car rental,False,0,Business,1,True
Alaska,GDL,JFK,30,4,2020,798,66,unspecified,Business/Work,Friend/Family,Pickup,False,0,First Class,3,False
Delta Airlines,SJC,GDL,15,5,2022,150,16,female,Business/Work,Friend/Family,Mobility as a service,False,0,Economy,2,True
Alaska,JFK,LAX,11,2,2018,776,13,female,Business/Work,Hotel,,True,711,First Class,3,True
American Airlines,GDL,JFK,22,7,2015,869,29,undisclosed,Back Home,Home,Mobility as a service,False,0,First Class,1,True
Volaris,PDX,GDL,7,12,2017,419,38,undisclosed,Back Home,Home,Car rental,False,0,First Class,3,True
Volaris,PDX,LAX,22,7,2016,851,8,unspecified,On vacation/Pleasure,Friend/Family,Pickup,False,0,Economy,1,True
Alaska,GDL,JFK,21,1,2016,700,90,male,On vacation/Pleasure,Home,,True,240,First Class,1,True
Volaris,JFK,PDX,28,7,2015,995,65,male,Back Home,Home,Public Transportation,False,0,Business,3,True
Alaska,JFK,LAX,10,1,2013,459,12,male,Back Home,Home,Car rental,False,0,First Class,0,True
American Airlines,GDL,SJC,18,1,2018,612,19,male,On vacation/Pleasure,Short-term homestay,,True,253,First Class,0,True
American Airlines,LAX,SJC,4,10,2020,218,66,unspecified,Back Home,Home,Airport cab,False,0,Business,3,True
Volaris,SJC,GDL,4,3,2015,778,57,undisclosed,On vacation/Pleasure,Short-term homestay,Pickup,False,0,Business,2,True
Aeromexico,PDX,GDL,17,11,2021,818,88,undisclosed,Back Home,Home,Airport cab,False,0,Economy,2,True
Alaska,JFK,LAX,29,6,2020,556,20,female,Back Home,Home,Own car,False,0,First Class,1,False
American Airlines,JFK,LAX,16,12,2015,697,36,male,Business/Work,Home,,True,248,Economy,3,False
Aeromexico,GDL,JFK,1,12,2013,571,6,female,Back Home,Home,Car rental,False,0,Business,2,False
American Airlines,SJC,JFK,14,10,2014,843,73,male,Business/Work,Friend/Family,Pickup,False,0,First Class,1,False
Delta Airlines,PDX,SJC,4,2,2013,918,29,male,Business/Work,Short-term homestay,,True,182,Business,3,False
American Airlines,PDX,GDL,24,10,2013,468,10,female,Back Home,Home,Airport cab,False,0,First Class,0,False
Volaris,SJC,JFK,13,3,2018,219,39,undisclosed,Business/Work,Home,,True,168,First Class,2,True
Aeromexico,SJC,PDX,21,2,2015,909,74,undisclosed,Business/Work,Home,Mobility as a service,False,0,First Class,1,True
American Airlines,JFK,PDX,8,12,2017,524,19,female,Business/Work,Short-term homestay,,True,181,Business,3,False
Aeromexico,JFK,LAX,22,7,2018,826,40,unspecified,Back Home,Home,Mobility as a service,False,0,Business,2,False
Delta Airlines,PDX,SJC,24,2,2022,740,27,undisclosed,On vacation/Pleasure,Hotel,,True,324,Economy,3,True
Aeromexico,LAX,JFK,3,7,2014,83,17,female,Business/Work,Friend/Family,Own car,False,0,Economy,3,True
Volaris,JFK,PDX,25,8,2019,974,54,unspecified,Back Home,Home,Pickup,False,0,Business,3,False
Alaska,LAX,PDX,16,3,2015,244,78,undisclosed,Back Home,Home,Pickup,False,0,Business,0,False
American Airlines,SJC,JFK,2,3,2017,799,85,unspecified,On vacation/Pleasure,Home,,True,209,Business,2,False
Delta Airlines,LAX,PDX,27,7,2018,278,33,unspecified,Back Home,Home,Public Transportation,False,0,First Class,2,False
Volaris,JFK,SJC,9,11,2016,576,28,male,On vacation/Pleasure,Friend/Family,,True,212,Economy,0,True
Aeromexico,LAX,PDX,25,9,2015,962,12,male,Back Home,Home,Mobility as a service,False,0,First Class,0,True
Volaris,LAX,GDL,27,11,2018,151,29,male,Back Home,Home,Own car,False,0,First Class,0,False
American Airlines,GDL,PDX,19,11,2016,546,4,unspecified,Business/Work,Home,Car rental,False,0,First Class,1,True
Aeromexico,GDL,PDX,31,3,2021,68,73,female,On vacation/Pleasure,Friend/Family,,True,394,Economy,3,True
Delta Airlines,GDL,PDX,29,4,2022,699,55,undisclosed,Business/Work,Short-term homestay,Own car,False,0,Economy,1,False
Alaska,SJC,GDL,16,9,2014,923,40,female,On vacation/Pleasure,Hotel,Car rental,False,0,Economy,3,True
Volaris,GDL,JFK,5,9,2014,970,31,male,Business/Work,Home,Mobility as a service,False,0,Business,1,False
Alaska,PDX,JFK,16,2,2023,716,29,male,Business/Work,Short-term homestay,,True,499,Business,2,False
Aeromexico,LAX,SJC,10,8,2013,401,75,female,Back Home,Home,Own car,False,0,Business,2,False
Aeromexico,GDL,SJC,7,11,2013,117,18,male,Back Home,Home,Public Transportation,False,0,First Class,3,False
Alaska,JFK,SJC,8,3,2018,808,35,unspecified,Back Home,Home,Public Transportation,False,0,Business,0,True
American Airlines,LAX,JFK,24,4,2018,33,90,undisclosed,Business/Work,Friend/Family,,True,136,Business,1,False
Aeromexico,SJC,JFK,8,6,2021,825,36,female,Business/Work,Friend/Family,,True,277,Business,0,False
Alaska,SJC,JFK,14,1,2020,571,72,undisclosed,Business/Work,Home,Car rental,False,0,Business,2,False
Volaris,PDX,JFK,18,7,2013,860,78,female,Business/Work,Hotel,,True,53,Economy,0,True
American Airlines,SJC,LAX,17,9,2019,499,5,undisclosed,On vacation/Pleasure,Home,,True,295,First Class,2,True
Volaris,SJC,PDX,27,4,2018,25,21,female,Business/Work,Friend/Family,Mobility as a service,False,0,First Class,3,False
Alaska,GDL,PDX,20,9,2022,468,26,undisclosed,On vacation/Pleasure,Hotel,Public Transportation,False,0,First Class,1,False
Delta Airlines,GDL,JFK,8,8,2017,111,12,unspecified,Back Home,Home,Mobility as a service,False,0,Economy,0,True
American Airlines,GDL,SJC,1,3,2018,769,81,undisclosed,On vacation/Pleasure,Hotel,Airport cab,False,0,Economy,0,True
American Airlines,LAX,GDL,14,4,2016,414,88,undisclosed,Back Home,Home,Public Transportation,False,0,Economy,0,False
Alaska,PDX,JFK,21,12,2021,859,21,male,On vacation/Pleasure,Home,Public Transportation,False,0,Economy,0,True
American Airlines,JFK,SJC,15,2,2014,631,69,male,Back Home,Home,Car rental,False,0,First Class,1,True
Alaska,SJC,LAX,21,9,2021,82,22,male,Back Home,Home,Car rental,False,0,Economy,1,False
Volaris,PDX,LAX,17,5,2013,549,83,male,Back Home,Home,Mobility as a service,False,0,Business,0,False
Alaska,GDL,JFK,2,10,2021,576,58,undisclosed,Business/Work,Home,,True,548,Economy,0,False
Alaska,PDX,SJC,7,2,2014,894,8,unspecified,Business/Work,Short-term homestay,Mobility as a service,False,0,Business,3,True
Delta Airlines,JFK,LAX,7,5,2015,326,35,unspecified,Business/Work,Hotel,,True,667,Economy,2,False
Aeromexico,PDX,JFK,21,6,2022,275,11,unspecified,On vacation/Pleasure,Short-term homestay,Public Transportation,False,0,Economy,0,False
Alaska,GDL,LAX,3,10,2017,508,39,female,Back Home,Home,Pickup,False,0,First Class,2,True
Volaris,PDX,SJC,26,1,2014,41,59,female,On vacation/Pleasure,Friend/Family,,True,719,First Class,0,True
Delta Airlines,PDX,GDL,9,2,2019,607,11,undisclosed,On vacation/Pleasure,Home,,True,40,First Class,0,False
Delta Airlines,SJC,JFK,18,12,2018,628,76,unspecified,On vacation/Pleasure,Short-term homestay,,True,92,Business,2,False
Alaska,LAX,GDL,8,12,2016,74,37,male,On vacation/Pleasure,Home,,True,38,Economy,1,True
Alaska,JFK,SJC,17,9,2016,109,14,female,On vacation/Pleasure,Short-term homestay,,True,169,Economy,0,True
Delta Airlines,PDX,LAX,23,7,2019,37,62,undisclosed,Back Home,Home,Airport cab,False,0,Business,0,True
American Airlines,SJC,LAX,28,12,2016,104,29,female,On vacation/Pleasure,Hotel,,True,159,Economy,3,True
Aeromexico,PDX,SJC,6,1,2020,165,69,male,Back Home,Home,Pickup,False,0,Economy,3,True
American Airlines,JFK,PDX,14,7,2019,576,63,female,Business/Work,Short-term homestay,,True,487,Business,1,True
Aeromexico,PDX,JFK,28,1,2022,62,15,female,Business/Work,Home,,True,603,First Class,2,True
Delta Airlines,GDL,JFK,8,1,2020,511,11,male,Business/Work,Friend/Family,,True,447,Business,2,True
Delta Airlines,LAX,PDX,3,5,2022,340,19,undisclosed,Back Home,Home,Own car,False,0,First Class,0,False
Alaska,GDL,LAX,19,4,2018,490,24,unspecified,Business/Work,Friend/Family,Mobility as a service,False,0,Economy,1,True
Volaris,SJC,GDL,1,12,2018,643,67,male,On vacation/Pleasure,Hotel,,True,379,First Class,1,True
Alaska,GDL,LAX,28,7,2019,990,57,male,Back Home,Home,Pickup,False,0,Business,2,True
Alaska,SJC,LAX,10,9,2021,949,41,female,Business/Work,Short-term homestay,Public Transportation,False,0,Economy,0,True
Volaris,JFK,GDL,10,1,2018,180,78,unspecified,Back Home,Home,Airport cab,False,0,Business,0,True
Volaris,LAX,GDL,16,8,2020,542,18,undisclosed,Back Home,Home,Public Transportation,False,0,Economy,2,True
American Airlines,JFK,GDL,23,7,2021,47,37,undisclosed,Business/Work,Home,,True,351,First Class,0,False
Delta Airlines,PDX,LAX,24,6,2014,54,21,male,Business/Work,Friend/Family,,True,263,Business,0,False
Aeromexico,SJC,GDL,17,7,2015,203,54,undisclosed,Back Home,Home,Pickup,False,0,Economy,0,False
Delta Airlines,GDL,JFK,29,1,2019,969,59,undisclosed,Back Home,Home,Pickup,False,0,Business,1,True
Delta Airlines,LAX,SJC,9,6,2017,563,80,male,Back Home,Home,Public Transportation,False,0,First Class,2,True
Volaris,LAX,SJC,30,9,2019,694,47,male,On vacation/Pleasure,Short-term homestay,Pickup,False,0,First Class,2,True
Aeromexico,LAX,PDX,19,4,2021,808,53,female,Back Home,Home,Car rental,False,0,Economy,0,False
Aeromexico,GDL,PDX,1,6,2022,906,87,male,On vacation/Pleasure,Home,Airport cab,False,0,Business,0,True
Aeromexico,SJC,GDL,20,3,2021,177,57,unspecified,Back Home,Home,Airport cab,False,0,First Class,0,False
American Airlines,SJC,LAX,29,4,2018,66,34,female,Back Home,Home,Public Transportation,False,0,First Class,3,False
American Airlines,LAX,SJC,3,4,2016,878,17,female,On vacation/Pleasure,Home,Own car,False,0,Business,3,True
Alaska,SJC,LAX,3,6,2017,967,11,female,Business/Work,Hotel,,True,718,First Class,2,False
Alaska,SJC,JFK,6,4,2022,287,89,female,Business/Work,Short-term homestay,,True,695,First Class,0,False
American Airlines,GDL,SJC,22,3,2013,389,6,female,Back Home,Home,Car rental,False,0,Business,2,False
Alaska,GDL,PDX,4,12,2019,761,43,female,Back Home,Home,Car rental,False,0,Business,1,True
Volaris,SJC,PDX,19,7,2015,212,36,male,On vacation/Pleasure,Hotel,,True,338,First Class,2,True
American Airlines,SJC,LAX,13,10,2017,863,62,female,On vacation/Pleasure,Friend/Family,,True,434,Economy,0,True
Aeromexico,JFK,PDX,29,11,2019,472,2,undisclosed,Back Home,Home,Public Transportation,False,0,Economy,2,False
Volaris,PDX,LAX,1,10,2015,777,14,undisclosed,Back Home,Home,Airport cab,False,0,Business,0,True
Aeromexico,LAX,PDX,5,1,2016,700,68,undisclosed,Business/Work,Friend/Family,Mobility as a service,False,0,Business,2,True
Aeromexico,JFK,GDL,11,8,2013,669,21,unspecified,Business/Work,Friend/Family,Own car,False,0,Business,0,True
American Airlines,GDL,LAX,12,1,2015,799,67,female,Business/Work,Hotel,Airport cab,False,0,Business,0,True
Delta Airlines,PDX,JFK,1,2,2023,837,24,unspecified,Back Home,Home,Car rental,False,0,First Class,3,False
Alaska,SJC,GDL,23,8,2014,60,82,male,On vacation/Pleasure,Home,,True,380,Economy,2,True
American Airlines,GDL,SJC,29,5,2020,475,79,female,On vacation/Pleasure,Short-term homestay,,True,639,Economy,3,True
Delta Airlines,SJC,JFK,26,5,2019,822,25,undisclosed,On vacation/Pleasure,Short-term homestay,,True,710,First Class,1,False
Aeromexico,GDL,PDX,5,4,2014,146,38,female,On vacation/Pleasure,Short-term homestay,Mobility as a service,False,0,First Class,2,True
Alaska,PDX,GDL,7,5,2016,652,5,undisclosed,Business/Work,Hotel,,True,201,First Class,1,True
Alaska,LAX,SJC,29,6,2017,27,2,unspecified,Back Home,Home,Pickup,False,0,Business,3,True
Delta Airlines,PDX,LAX,4,8,2015,126,40,male,Business/Work,Home,,True,230,Economy,2,True
Aeromexico,LAX,GDL,25,11,2017,514,36,male,Back Home,Home,Car rental,False,0,First Class,3,True
Delta Airlines,JFK,GDL,11,6,2014,604,14,undisclosed,On vacation/Pleasure,Friend/Family,,True,30,Economy,3,True
American Airlines,JFK,GDL,12,2,2016,87,85,male,Back Home,Home,Airport cab,False,0,Business,2,False
Aeromexico,SJC,LAX,13,11,2022,389,63,unspecified,Business/Work,Home,,True,32,First Class,3,True
Delta Airlines,LAX,SJC,5,9,2017,326,74,female,On vacation/Pleasure,Short-term homestay,,True,79,Business,1,True
Volaris,LAX,GDL,26,1,2016,44,51,female,Business/Work,Home,,True,309,First Class,0,False
Volaris,PDX,JFK,18,1,2014,818,74,undisclosed,Back Home,Home,Public Transportation,False,0,First Class,0,False
Volaris,PDX,JFK,24,11,2020,533,13,female,Back Home,Home,Own car,False,0,Business,0,False
Aeromexico,JFK,SJC,27,12,2014,873,47,male,Business/Work,Short-term homestay,Own car,False,0,First Class,3,True
American Airlines,JFK,SJC,18,5,2020,302,5,undisclosed,Back Home,Home,Own car,False,0,First Class,3,True
American Airlines,SJC,PDX,24,3,2017,325,4,undisclosed,Back Home,Home,Mobility as a service,False,0,Business,0,False
Delta Airlines,PDX,SJC,16,1,2018,364,2,undisclosed,On vacation/Pleasure,Friend/Family,,True,677,Economy,2,False
Aeromexico,JFK,GDL,17,2,2019,349,81,female,Back Home,Home,Public Transportation,False,0,Economy,0,False
Volaris,GDL,SJC,16,2,2019,47,68,undisclosed,Back Home,Home,Mobility as a service,False,0,First Class,3,True
Alaska,JFK,PDX,27,1,2017,379,60,female,On vacation/Pleasure,Hotel,,True,714,First Class,1,True
Aeromexico,GDL,SJC,19,6,2019,772,1,female,On vacation/Pleasure,Hotel,,True,193,Economy,1,True
Aeromexico,GDL,PDX,3,6,2014,811,23,male,Business/Work,Home,Airport cab,False,0,First Class,0,True
Alaska,LAX,SJC,21,11,2018,984,60,unspecified,Back Home,Home,Mobility as a service,False,0,Economy,3,False
Delta Airlines,GDL,JFK,3,4,2019,564,35,female,On vacation/Pleasure,Hotel,,True,662,Business,2,True
Alaska,PDX,JFK,20,5,2020,307,23,male,Business/Work,Short-term homestay,Own car,False,0,Business,3,False
Volaris,SJC,PDX,3,11,2022,107,83,undisclosed,On vacation/Pleasure,Hotel,Airport cab,False,0,First Class,1,False
American Airlines,JFK,SJC,16,3,2016,192,42,male,On vacation/Pleasure,Short-term homestay,,True,140,First Class,2,True
Delta Airlines,PDX,JFK,25,6,2019,223,39,undisclosed,Back Home,Home,Own car,False,0,First Class,1,True
American Airlines,JFK,SJC,30,1,2014,172,80,male,Business/Work,Short-term homestay,,True,157,Business,0,True
Delta Airlines,SJC,JFK,15,7,2019,773,44,male,On vacation/Pleasure,Home,Mobility as a service,False,0,Business,2,False
American Airlines,SJC,JFK,31,1,2014,911,27,unspecified,Business/Work,Hotel,,True,577,Economy,1,False
Aeromexico,SJC,PDX,28,7,2015,251,73,male,On vacation/Pleasure,Short-term homestay,,True,686,First Class,1,False
Alaska,LAX,PDX,3,10,2017,67,47,undisclosed,Business/Work,Short-term homestay,,True,312,Business,3,False
Aeromexico,LAX,GDL,2,1,2016,539,38,female,Business/Work,Short-term homestay,Car rental,False,0,Economy,2,False
Alaska,GDL,PDX,1,1,2023,72,78,undisclosed,On vacation/Pleasure,Short-term homestay,,True,357,Economy,2,True
Delta Airlines,LAX,GDL,20,10,2019,981,5,male,On vacation/Pleasure,Hotel,,True,368,Economy,2,True
Aeromexico,JFK,PDX,11,2,2018,221,23,female,Back Home,Home,Airport cab,False,0,First Class,3,False
Delta Airlines,SJC,LAX,24,2,2021,564,23,male,Back Home,Home,Airport cab,False,0,First Class,0,False
Volaris,GDL,SJC,2,11,2014,779,79,female,Business/Work,Friend/Family,Public Transportation,False,0,First Class,2,False
Alaska,JFK,SJC,9,11,2013,303,62,female,On vacation/Pleasure,Friend/Family,,True,190,Economy,0,False
American Airlines,GDL,LAX,27,6,2022,985,42,female,Back Home,Home,Pickup,False,0,Economy,2,False
Aeromexico,PDX,LAX,10,8,2021,161,70,undisclosed,On vacation/Pleasure,Friend/Family,Mobility as a service,False,0,Economy,3,True
Aeromexico,JFK,PDX,24,12,2016,340,12,unspecified,On vacation/Pleasure,Friend/Family,Car rental,False,0,First Class,3,True
Volaris,JFK,PDX,31,5,2018,643,51,male,Business/Work,Short-term homestay,Own car,False,0,Economy,0,False
Aeromexico,PDX,JFK,30,6,2020,472,74,female,Back Home,Home,Pickup,False,0,Economy,0,False
Alaska,JFK,PDX,13,5,2015,963,56,unspecified,On vacation/Pleasure,Friend/Family,,True,231,Business,1,False
Volaris,GDL,PDX,19,6,2016,266,29,unspecified,Business/Work,Friend/Family,,True,692,First Class,3,False
Alaska,PDX,JFK,15,9,2021,247,74,female,Business/Work,Short-term homestay,Own car,False,0,Economy,1,False
Aeromexico,LAX,SJC,2,7,2016,90,79,female,Business/Work,Short-term homestay,,True,382,Economy,3,True
Aeromexico,PDX,SJC,15,3,2019,836,58,unspecified,On vacation/Pleasure,Short-term homestay,,True,415,Economy,0,True
Volaris,SJC,LAX,13,3,2018,315,66,unspecified,Business/Work,Friend/Family,Pickup,False,0,First Class,0,False
Delta Airlines,SJC,JFK,5,9,2014,732,32,unspecified,Back Home,Home,Airport cab,False,0,First Class,1,True
American Airlines,GDL,SJC,14,10,2022,260,10,undisclosed,On vacation/Pleasure,Short-term homestay,Own car,False,0,First Class,2,True
Alaska,GDL,JFK,24,2,2021,30,16,unspecified,Business/Work,Friend/Family,Airport cab,False,0,First Class,0,False
American Airlines,JFK,LAX,4,4,2021,917,63,unspecified,Back Home,Home,Mobility as a service,False,0,Economy,0,False
